#{"t_start": 1737239890.8577614, "env_id": null}
r,l,t
33100,14282,114.420885
29100,12041,153.706305
29700,6444,180.319058
91900,22240,334.366541
48600,8430,375.072691
36200,11260,1067.334083
6500,5281,1109.322876
130100,28684,1254.758343
148400,39310,1368.156034
43000,7814,1464.862228
34900,13483,1514.243367
59400,12357,1565.941923
27300,8082,1700.241491
4500,6249,1727.980033
51400,11370,1777.403019
5800,5905,1813.295468
116200,28496,2028.968611
43000,12984,2079.683707
76100,11364,2122.000839
51400,14617,2184.433313
83600,11033,2233.521601
143100,25260,2332.229267
49600,7156,2406.581499
113900,30810,2490.564812
179600,39850,2626.990766
42900,12977,2733.503713
23500,7060,3065.03731
40100,9559,3097.112163
16500,9813,3131.095473
167500,39717,3250.090229
